0.062269,0.057111,0.056685,0.05926,0.064558,12,573,900,-1,0.0599766
0,0,0,0,0,-999,573,605,-1,0
0.093214,0.092516,0.206339,0.108892,0.093778,22,573,1082,-1,0.1189478
0.141634,0.1406,0.148086,0.141969,0.248768,29,573,790,-1,0.1642114
0.26418,0.25237,0.150647,0.152637,0.150819,33,573,598,-1,0.1941306
0,0,0,0,0,-999,573,1021,-1,0
0.169965,0.163615,0.159696,0.159486,0.173425,36,573,1702,-1,0.1652374
0,0,0,0,0,-999,573,2430,-1,0
0,0,0,0,0,-999,573,2862,-1,0
0.182656,0.175074,0.212259,0.217223,0.182442,55,573,2614,-1,0.1939308
0,0,0,0,0,-999,573,2413,-1,0
0,0,0,0,0,-999,573,2845,-1,0
0,0,0,0,0,-999,573,4016,-1,0
0,0,0,0,0,-999,573,4449,-1,0
0.391239,0.255242,0.249554,0.236163,0.322999,89,573,4246,-1,0.2910394
0.355793,0.264772,0.252043,0.25748,0.258939,107,573,5110,-1,0.2778054
0,0,0,0,0,-999,573,4858,-1,0
0.457512,0.360279,0.367716,0.355072,0.355463,121,573,5338,-1,0.3792084
0.412815,0.538777,0.40706,0.427643,0.414236,133,573,6151,-1,0.4401062
0.284186,0.29166,0.295465,0.401083,0.2854,127,573,6070,-1,0.3115588
0,0,0,0,0,-999,573,5888,-1,0
0,0,0,0,0,-999,573,6320,-1,0
0.056907,0.055453,0.055799,0.164775,0.05448,12,900,573,-1,0.0774828
0,0,0,0,0,-999,900,605,-1,0
0.050599,0.050292,0.153741,0.049458,0.049466,11,900,1082,-1,0.0707112
0.09269,0.196451,0.097152,0.092312,0.094254,18,900,790,-1,0.1145718
0.119711,0.116825,0.119187,0.117853,0.230684,22,900,598,-1,0.140852
0,0,0,0,0,-999,900,1021,-1,0
0.104519,0.10205,0.102698,0.099973,0.104167,25,900,1702,-1,0.1026814
0,0,0,0,0,-999,900,2430,-1,0
0,0,0,0,0,-999,900,2862,-1,0
0.133817,0.135577,0.1404,0.130057,0.13442,44,900,2614,-1,0.1348542
0,0,0,0,0,-999,900,2413,-1,0
0,0,0,0,0,-999,900,2845,-1,0
0,0,0,0,0,-999,900,4016,-1,0
0,0,0,0,0,-999,900,4449,-1,0
