0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0
464,512,560,608,656,704,752,800,848,896,944,992,1040,0,0,0,0,0,0,0
465,513,561,609,657,705,753,801,849,897,945,993,1041,1089,1137,1185,1233,1281,1329,1377
466,514,562,610,658,706,754,802,850,898,946,994,1042,1090,1138,1186,1234,1282,1330,1378
467,515,563,611,659,707,755,803,851,899,947,995,1043,1091,1139,1187,1235,1283,1331,0
468,516,564,612,660,708,756,804,852,900,948,996,1044,1092,1140,1188,1236,1284,1332,1380
469,517,565,613,661,709,757,805,853,901,949,997,1045,1093,1141,1189,1237,1285,1333,1381
470,518,566,614,662,710,758,806,854,902,950,998,1046,1094,1142,1190,1238,1286,1334,1382
471,519,567,615,663,711,759,807,855,903,951,999,1047,1095,1143,1191,1239,1287,1335,1383
472,520,568,616,664,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
